Date,Open,High,Low,Close*,Adj Close**,Volume
01/09/2023,4530.6,4541.25,4501.35,4515.77,4515.77,3246260000
01/08/2023,4578.83,4584.62,4335.31,4507.66,4507.66,86840820000
01/07/2023,4450.48,4607.07,4385.05,4588.96,4588.96,75063200000
01/06/2023,4183.03,4458.48,4171.64,4450.38,4450.38,87983140000
01/05/2023,4166.79,4231.1,4048.28,4179.83,4179.83,88929200000
01/04/2023,4102.2,4170.06,4049.35,4169.48,4169.48,70861260000
01/03/2023,3963.34,4110.75,3808.86,4109.31,4109.31,113094800000
01/02/2023,4070.07,4195.44,3943.08,3970.15,3970.15,80392280000
01/01/2023,3853.29,4094.21,3794.33,4076.6,4076.6,80763810000
01/12/2022,4087.14,4100.96,3764.49,3839.5,3839.5,85249330000
01/11/2022,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000
01/10/2022,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000
01/09/2022,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000
01/08/2022,4112.38,4325.28,3954.53,3955,3955,92252350000
01/07/2022,3781,4140.15,3721.56,4130.29,4130.29,81688320000
01/06/2022,4149.78,4177.51,3636.87,3785.38,3785.38,106116710000
01/05/2022,4130.61,4307.66,3810.32,4132.15,4132.15,108860390000
01/04/2022,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000
01/03/2022,4363.14,4637.3,4157.87,4530.41,4530.41,123546260000
01/02/2022,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000
01/01/2022,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000
01/12/2021,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000
01/11/2021,4610.62,4743.83,4560,4567,4567,88268840000
01/10/2021,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000
01/09/2021,4528.8,4545.85,4305.91,4307.54,4307.54,85528860000
01/08/2021,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000
01/07/2021,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000
01/06/2021,4216.52,4302.43,4164.4,4297.5,4297.5,102544180000
01/05/2021,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000
01/04/2021,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000
01/03/2021,3842.51,3994.41,3723.34,3972.89,3972.89,122371150000
01/02/2021,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000
01/01/2021,3764.61,3870.9,3662.71,3714.24,3714.24,106117800000
01/12/2020,3645.87,3760.2,3633.4,3756.07,3756.07,96375680000
01/11/2020,3296.2,3645.99,3279.74,3621.63,3621.63,101247180000
01/10/2020,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000
01/09/2020,3507.44,3588.11,3209.45,3363,3363,92310780000
01/08/2020,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000
01/07/2020,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000
01/06/2020,3038.78,3233.13,2965.66,3100.29,3100.29,131458880000
01/05/2020,2869.09,3068.67,2766.64,3044.31,3044.31,107135190000
01/04/2020,2498.08,2954.86,2447.49,2912.43,2912.43,123608160000
01/03/2020,2974.28,3136.72,2191.86,2584.59,2584.59,162185380000
01/02/2020,3235.66,3393.52,2855.84,2954.22,2954.22,84436590000
01/01/2020,3244.67,3337.77,3214.64,3225.52,3225.52,77287980000
01/12/2019,3143.85,3247.93,3070.33,3230.78,3230.78,72325540000
01/11/2019,3050.72,3154.26,3050.72,3140.98,3140.98,72410620000
01/10/2019,2983.69,3050.1,2855.94,3037.56,3037.56,77720640000
01/09/2019,2909.01,3021.99,2891.85,2976.74,2976.74,74178980000
01/08/2019,2980.32,3013.59,2822.12,2926.46,2926.46,80269220000
01/07/2019,2971.41,3027.98,2952.22,2980.38,2980.38,70599470000
01/06/2019,2751.53,2964.15,2728.81,2941.76,2941.76,71250630000
01/05/2019,2952.33,2954.13,2750.52,2752.06,2752.06,77250740000
01/04/2019,2848.63,2949.52,2848.63,2945.83,2945.83,70090370000
01/03/2019,2798.22,2860.31,2722.27,2834.4,2834.4,79159660000
01/02/2019,2702.32,2813.49,2681.83,2784.49,2784.49,70638770000
01/01/2019,2476.96,2708.95,2443.96,2704.1,2704.1,80859870000
01/12/2018,2790.5,2800.18,2346.58,2506.85,2506.85,84162180000
01/11/2018,2717.58,2815.15,2631.09,2760.17,2760.17,80620020000
01/10/2018,2926.29,2939.86,2603.54,2711.74,2711.74,91930980000
